content_id,part,question_elapsed_time_mean,question_had_explanation_mean,question_correctly_q_count,question_correctly_q_mean,tags_lsi,tag_acc_count,tag_acc_max,tag_acc_min
0,1,19693.703,0.952843877,6903,0.907721281,12,31278826,0.7962685,0.71531856
1,1,19320.742,0.981045221,7398,0.890646121,19,18689510,0.79558444,0.7051045
2,1,24574.775,0.902113509,44905,0.55428126,19,33340728,0.79558444,0.6873932
3,1,21628.973,0.969317388,22973,0.77943673,12,26956444,0.84801483,0.70151895
4,1,22046.86,0.533053548,31736,0.613215276,12,31459616,0.79558444,0.71531856
5,1,22136.594,0.979207411,9727,0.861827902,19,28499036,0.84801483,0.7051045
6,1,23996.8,0.71659919,56707,0.474544589,14,31587636,0.7288469,0.55998886
7,1,21887.057,0.986108595,16585,0.866023515,12,22925174,0.7288469,0.70151895
8,1,22816.814,0.968764678,8535,0.906619801,19,33182200,0.79558444,0.6873932
9,1,24129.041,0.978973696,47346,0.303911629,8,16945436,0.7051045,0.6382051
10,1,22516.992,0.986561571,31024,0.683954358,19,21542700,0.79558444,0.71531856
11,1,21077.51,0.975609756,6694,0.886913654,19,18743684,0.7962685,0.7051045
12,1,22151.863,0.986472476,20294,0.759879767,19,23614880,0.7962685,0.6873932
13,1,20050.133,0.979946524,8991,0.887220554,19,17381880,0.79558444,0.70151895
14,1,22779.271,0.983897687,15125,0.799669421,19,21640770,0.79558444,0.71531856
15,1,21796.94,0.984349543,20295,0.705641784,8,14785814,0.7111844,0.7051045
16,1,21367.38,0.970077577,5439,0.425629711,19,23589164,0.79558444,0.6873932
17,1,22291.113,0.98057681,8503,0.869810655,12,27122784,0.8097754,0.70151895
18,1,21696.096,0.985134554,20966,0.828102642,0,19657012,0.7111844,0.6873932
19,1,21725.334,0.977583723,11127,0.827087265,8,26475252,0.8020565,0.6620757
20,1,20598.941,0.978177966,4723,0.975439339,12,31352226,0.84801483,0.71531856
21,1,21688.158,0.97971836,11307,0.750685416,15,27131184,0.7288469,0.6620757
22,1,22200.793,0.980726073,7589,0.864672552,19,23795670,0.79558444,0.6873932
23,1,22340.082,0.971077368,8312,0.734480269,17,15906639,0.70151895,0.6620757
24,1,22933.254,0.797394137,16921,0.656403286,17,20302420,0.71531856,0.6620757
25,1,21176.896,0.301349889,21307,0.784906369,17,17449232,0.7051045,0.6620757
26,1,20434.19,0.976674442,9024,0.820257092,19,33451460,0.79558444,0.6873932
27,1,23599.682,0.949430765,11348,0.66434614,17,15906639,0.70151895,0.6620757
28,1,25128.53,0.984225901,20585,0.645567161,19,23769508,0.79558444,0.6873932
29,1,20170.623,0.968959221,4959,0.496269409,8,28311002,0.79558444,0.7051045
30,1,20273.25,0.92533557,8355,0.894314782,12,31278826,0.7962685,0.71531856
31,1,19580.713,0.974733935,12324,0.857270367,8,28328576,0.81380403,0.7051045
32,1,22188.75,0.981363636,8820,0.862698413,19,33451460,0.79558444,0.6873932
33,1,21517.96,0.983073162,10653,0.796770863,12,31518566,0.8097754,0.71531856
34,1,23901.746,0.977163692,10443,0.663219381,17,22320428,0.6873932,0.6620757
35,1,19932.582,0.978252527,7831,0.848933725,19,18924472,0.79558444,0.7051045
36,1,20314.03,0.980190517,9255,0.907401405,12,31352226,0.84801483,0.71531856
37,1,19917.613,0.975831895,16832,0.832224335,19,18646624,0.81380403,0.7051045
38,1,21528.996,0.984114977,7944,0.9612286,14,31346448,0.8020565,0.6620757
39,1,23523.059,0.98155379,29776,0.592624933,17,19887678,0.71531856,0.55998886
40,1,19980.752,0.975905236,7439,0.836268316,19,21751500,0.79558444,0.71531856
41,1,17788.787,0.976314646,4609,0.970275548,19,28665376,0.8097754,0.7051045
42,1,19506.023,0.979759036,6240,0.974038462,19,23535016,0.85315216,0.6873932
43,1,20144.385,0.982678447,8622,0.928438877,12,26768410,0.79558444,0.70151895
44,1,21492.35,0.977644711,7529,0.925620932,17,20302420,0.71531856,0.6620757
45,1,21771.342,0.595191914,36674,0.687217102,8,26627388,0.7288469,0.6382051
46,1,22094.59,0.97274322,7425,0.918114478,19,33451460,0.79558444,0.6873932
47,1,24092.107,0.980496273,9809,0.749617698,17,15906639,0.70151895,0.6620757
48,1,22347.963,0.979331307,8237,0.833555906,14,32002380,0.7288469,0.6620757
49,1,19483.855,0.965405904,2173,0.710078233,8,26627388,0.7288469,0.6382051
50,1,19208.436,0.276042641,21401,0.918368301,19,21640770,0.79558444,0.71531856
51,1,17951.41,0.358154408,24107,0.929729954,19,18672180,0.85601956,0.7051045
52,1,21280.762,0.977775646,31374,0.789953465,19,23589164,0.79558444,0.6873932
53,1,21286.902,0.981434059,10949,0.841812038,12,26956444,0.84801483,0.70151895
54,1,23369.598,0.968058191,9500,0.711368421,17,20302420,0.71531856,0.6620757
55,1,20627,0.633163341,40452,0.601824384,8,28371462,0.79558444,0.7051045
56,1,21896.752,0.975274262,23755,0.718880236,14,29338964,0.7288469,0.6873932
57,1,20957.215,0.982992293,7537,0.904603954,12,27122784,0.8097754,0.70151895
58,1,24313.217,0.984274026,36149,0.381725636,11,21816634,0.6873932,0.6382051
59,1,21941.93,0.984306948,14492,0.854195418,8,28469532,0.79558444,0.7051045
60,1,24240.29,0.958646617,12797,0.810346175,17,20302420,0.71531856,0.6620757
61,1,22771.752,0.984520124,18778,0.761476196,15,11994050,0.6987908,0.6382051
62,1,21889.885,0.979979036,19112,0.671096693,19,13946924,0.79558444,0.6987908
63,1,25855.027,0.980907081,14953,0.738514011,19,21670274,0.84801483,0.71531856
64,1,23145.287,0.983554019,35643,0.680077435,19,23522716,0.79558444,0.6873932
65,1,24937.14,0.981921938,22989,0.873417722,19,13738123,0.79558444,0.6987908
66,1,23586.723,0.959170952,6433,0.937509716,19,21751500,0.79558444,0.71531856
67,1,21733.95,0.92182448,8696,0.905933763,19,13720793,0.85601956,0.6987908
68,1,21678.16,0.975091472,7117,0.944639595,19,13792297,0.7962685,0.6987908
69,1,24754.562,0.978186484,14057,0.493277371,17,20302420,0.71531856,0.6620757
70,1,18725.922,0.9797887,6537,0.967416246,12,31278826,0.7962685,0.71531856
71,1,21126.193,0.982448345,9017,0.811134524,8,28469532,0.79558444,0.7051045
72,1,22267.217,0.983634459,15305,0.743613198,19,33536572,0.8097754,0.6873932
73,1,19704.879,0.982384824,7388,0.850568489,12,27122784,0.8097754,0.70151895
74,1,21265.787,0.962294703,4345,0.269044879,17,20302420,0.71531856,0.6620757
75,1,21704.936,0.980498017,9091,0.839071609,19,18924472,0.79558444,0.7051045
76,1,25260.857,0.982995021,26165,0.592661953,11,21905684,0.6873932,0.55998886
77,1,22640.584,0.982835658,18388,0.699532304,11,15402845,0.70151895,0.6382051
78,1,21657.629,0.980601802,13109,0.840033565,19,23769508,0.79558444,0.6873932
79,1,21531.658,0.981260647,7051,0.913629272,8,28371462,0.79558444,0.7051045
80,1,22993.725,0.970715673,6712,0.8261323,17,20302420,0.71531856,0.6620757
81,1,21697.166,0.973238882,5089,0.833562586,19,13973086,0.79558444,0.6987908
82,1,21350.072,0.963773314,2801,0.762227776,17,12497844,0.6987908,0.6620757
83,1,23505.469,0.983107742,18521,0.795043464,0,17639004,0.71531856,0.7111844
84,1,24437.889,0.977501197,8368,0.838432122,19,23560708,0.79558444,0.6873932
85,1,22577.969,0.98121175,16369,0.743539618,19,13677663,0.79558444,0.6987908
86,1,23858.684,0.980956273,12253,0.747490411,17,19646488,0.8020565,0.6620757
87,1,19439.213,0.97807159,6212,0.920637476,19,13700131,0.79558444,0.6987908
88,1,22270.38,0.978245801,18800,0.574361702,19,13836193,0.79558444,0.6987908
89,1,22439.336,0.982688391,13773,0.920859653,19,21542700,0.79558444,0.71531856
90,1,19570.002,0.977175464,4911,0.96212584,12,31518566,0.8097754,0.71531856
91,1,18340.623,0.979456594,6046,0.894641085,19,18898312,0.79558444,0.7051045
92,1,20611.191,0.963537906,2778,0.79049676,19,23543376,0.85601956,0.6873932
93,1,20051.863,0.981118195,8164,0.941450269,12,26883044,0.7962685,0.70151895
94,1,20417.855,0.975347772,5684,0.928571429,12,31459616,0.79558444,0.71531856
95,1,22256.95,0.904806688,9590,0.729301356,17,17449232,0.7051045,0.6620757
96,1,22043.059,0.976527281,6441,0.793976091,17,22320428,0.6873932,0.6620757
97,1,20210.793,0.977400356,7311,0.898645876,12,27122784,0.8097754,0.70151895
98,1,22287.256,0.678574568,34217,0.760528392,8,26505552,0.7288469,0.6620757
99,1,20124.543,0.978201956,8506,0.950152833,19,21525370,0.85601956,0.71531856
100,1,18602.404,0.064153396,15386,0.353568179,19,18924472,0.79558444,0.7051045
101,1,19880.96,0.966890028,2546,0.804006284,19,33225328,0.85601956,0.6873932
102,1,20700.516,0.974542334,6998,0.847527865,19,17355720,0.79558444,0.70151895
103,1,22022.977,0.981439904,13383,0.6591945,17,20302420,0.71531856,0.6620757
104,1,19771.283,0.290339133,21446,0.876527091,19,28665376,0.8097754,0.7051045
105,1,20895.697,0.980388331,10263,0.74851408,19,17355720,0.79558444,0.70151895
106,1,21459.771,0.977561705,9385,0.861694193,14,31346448,0.8020565,0.6620757
107,1,21293.697,0.965413041,27557,0.647530573,8,16793300,0.8020565,0.6620757
108,1,20662.838,0.250160931,20200,0.845940594,19,23769508,0.79558444,0.6873932
109,1,18579.496,0.974985787,5283,0.97482491,19,18651518,0.79558444,0.7051045
110,1,23546.348,0.984550643,34792,0.624108991,19,21482240,0.79558444,0.71531856
111,1,19579.783,0.982716252,12231,0.852669446,8,28469532,0.79558444,0.7051045
112,1,22254.172,0.981206466,7626,0.953710989,19,23658776,0.79558444,0.6873932
113,1,22583.736,0.981988624,9512,0.89833894,12,29328440,0.8020565,0.6620757
114,1,22679.523,0.980550373,21497,0.667255896,19,23560708,0.79558444,0.6873932
115,1,16952.262,0.975053841,5578,0.978666189,8,28345772,0.85315216,0.7051045
116,1,22145.945,0.97027027,2228,0.791741472,17,19646488,0.8020565,0.6620757
117,1,24277.207,0.980951112,7527,0.934103893,8,28469532,0.79558444,0.7051045
118,1,22838.424,0.981779207,11214,0.905475299,19,21751500,0.79558444,0.71531856
119,1,19418.918,0.985343035,9637,0.881187091,19,13792297,0.7962685,0.6987908
120,1,23208.617,0.980702793,20313,0.843597696,9,9834427,0.7111844,0.6987908
121,1,24992.756,0.982442683,11745,0.795146871,19,21777664,0.79558444,0.71531856
122,1,23024.71,0.972750345,22504,0.68441166,11,21816634,0.6873932,0.6382051
123,1,22613.113,0.984003566,20241,0.788844425,9,9834427,0.7111844,0.6987908
124,1,24598.875,0.972622831,12295,0.748352989,17,20302420,0.71531856,0.6620757
125,1,22065.05,0.979074264,8809,0.76739698,19,13738123,0.79558444,0.6987908
126,1,20389.154,0.977934565,14482,0.857616351,17,12497844,0.6987908,0.6620757
127,1,22597.727,0.981639422,8478,0.907879217,19,21482240,0.79558444,0.71531856
128,1,18213.578,0.200775352,19619,0.966868852,19,23688280,0.84801483,0.6873932
129,1,23478.893,0.9782743,9732,0.768701192,17,17449232,0.7051045,0.6620757
130,1,21748.256,0.986621173,33521,0.768294502,19,21571158,0.79558444,0.71531856
131,1,19850.451,0.986564434,14252,0.860510806,8,28333470,0.79558444,0.7051045
132,1,22042.367,0.980351222,8159,0.889937492,19,33477622,0.79558444,0.6873932
133,1,21484.475,0.975692005,7128,0.867003367,19,21836614,0.8097754,0.71531856
134,1,24572.338,0.985839698,36909,0.428079872,19,23769508,0.79558444,0.6873932
135,1,20502.527,0.983178601,10903,0.922865266,8,28328576,0.81380403,0.7051045
136,1,21568.252,0.972566254,7522,0.868784898,19,21836614,0.8097754,0.71531856
137,1,18321.355,0.970225873,978,0.933537832,8,26475252,0.8020565,0.6620757
138,1,22773.492,0.956588552,13040,0.848312883,19,23658776,0.79558444,0.6873932
139,1,21899.75,0.986997156,17277,0.80390114,12,31198960,0.85315216,0.71531856
140,1,21544.578,0.97866966,10702,0.873855354,19,23688280,0.84801483,0.6873932
141,1,21287.95,0.984546166,10243,0.880503759,19,18651518,0.79558444,0.7051045
142,1,22488.805,0.985669075,16773,0.780182436,17,19887678,0.71531856,0.55998886
143,1,22079.307,0.980736735,8883,0.817291456,19,18898312,0.79558444,0.7051045
144,1,22586.016,0.981062894,23238,0.701093037,19,23500248,0.79558444,0.6873932
145,1,23681.258,0.980359147,8922,0.826160054,17,29984372,0.7288469,0.6620757
146,1,23152.523,0.975344037,1747,0.70291929,11,21816634,0.6873932,0.6382051
147,1,18859.201,0.981152993,903,0.96013289,19,18787580,0.79558444,0.7051045
148,1,21475.023,0.976005465,11731,0.829767283,19,21482240,0.79558444,0.71531856
149,1,24135.873,0.985126742,29873,0.580189469,19,18983424,0.8097754,0.7051045
150,1,23092.684,0.974012938,8977,0.790575916,17,20302420,0.71531856,0.6620757
151,1,20179.99,0.974006347,6636,0.928420735,19,33536572,0.8097754,0.6873932
152,1,20087.227,0.318743586,22422,0.88257069,19,28606424,0.79558444,0.7051045
153,1,22795.797,0.982188142,16607,0.743722527,17,19676792,0.72825444,0.6620757
154,1,18416.234,0.962867012,1160,0.873275862,8,16793300,0.8020565,0.6620757
155,1,20384.197,0.976582565,6632,0.894752714,19,23769508,0.79558444,0.6873932
156,1,20180.936,0.310163759,22493,0.931889921,12,31322722,0.79558444,0.71531856
157,1,23685.72,0.974430357,33138,0.565996741,19,21777664,0.79558444,0.71531856
158,1,17724.451,0.974141498,4842,0.945890128,19,13865697,0.84801483,0.6987908
159,1,23250.72,0.973554409,26419,0.613914228,19,13973086,0.79558444,0.6987908
160,1,21347.62,0.973904762,5258,0.881323697,19,21836614,0.8097754,0.71531856
161,1,22460.121,0.983719783,12178,0.914353753,19,23517822,0.81380403,0.6873932
162,1,22996.678,0.975920288,7246,0.868617168,17,12497844,0.6987908,0.6620757
163,1,21555.18,0.983597789,11246,0.955806509,17,19646488,0.8020565,0.6620757
164,1,22051.76,0.982766903,16699,0.73058267,9,9834427,0.7111844,0.6987908
165,1,23339.13,0.98487244,27884,0.651233682,15,11872214,0.72825444,0.6620757
166,1,21164.67,0.978217822,9609,0.873139765,19,21836614,0.8097754,0.71531856
167,1,20024.846,0.980214724,6533,0.951477116,12,31198960,0.85315216,0.71531856
168,1,18700.227,0.982435482,10208,0.9268221,8,28354132,0.85601956,0.7051045
169,1,22606.002,0.98045977,7840,0.819515306,19,23688280,0.84801483,0.6873932
170,1,20522.012,0.982010515,15818,0.726766974,19,17274492,0.84801483,0.70151895
171,1,22676.48,0.981271964,23392,0.759233926,19,21836614,0.8097754,0.71531856
172,1,21369.682,0.51568563,30430,0.461386789,8,16945436,0.7051045,0.6382051
173,1,23545.844,0.985632814,18278,0.785643944,11,21664496,0.8020565,0.6620757
174,1,21626.645,0.98038063,13628,0.848620487,11,15402845,0.70151895,0.6382051
175,1,24064.717,0.138856947,195861,0.35996957,17,22320428,0.6873932,0.6620757
176,1,23542.436,0.980894203,15411,0.504509766,17,17449232,0.7051045,0.6620757
177,1,20026.672,0.97466184,5262,0.928924363,19,18817084,0.84801483,0.7051045
178,1,19630.854,0.98200559,5729,0.94746029,19,33536572,0.8097754,0.6873932
179,1,19856.049,0.974383962,7193,0.899068539,19,17146918,0.79558444,0.70151895
180,1,23317.918,0.9850837,21438,0.652392947,19,21670274,0.84801483,0.71531856
181,1,21713.328,0.928249643,9120,0.757675439,19,18898312,0.79558444,0.7051045
182,1,22366.13,0.980492376,11760,0.836904762,19,33242660,0.79558444,0.6873932
183,1,19986.52,0.519914858,31057,0.730688734,12,22925174,0.7288469,0.70151895
184,1,20645.969,0.978361851,17054,0.8088425,11,21905684,0.6873932,0.55998886
185,1,23678.889,0.672458214,47047,0.608221566,19,18651518,0.79558444,0.7051045
186,1,22255.707,0.985427461,24753,0.692077728,19,21751500,0.79558444,0.71531856
187,1,21903.008,0.985948121,32884,0.879150955,19,13766581,0.79558444,0.6987908
188,1,19516.234,0.981587804,10124,0.86290004,19,13973086,0.79558444,0.6987908
189,1,24537.27,0.85677687,41095,0.38525368,17,20302420,0.71531856,0.6620757
190,1,22133.307,0.978168918,7337,0.909772387,19,23769508,0.79558444,0.6873932
191,1,22796.35,0.986646574,23939,0.753999749,19,13695238,0.81380403,0.6987908
192,1,20615.31,0.980690222,7318,0.943427166,19,21751500,0.79558444,0.71531856
193,1,22492.78,0.984617667,20259,0.876499334,15,11841912,0.8020565,0.6620757
194,1,21859.648,0.985942521,22464,0.674634972,9,9834427,0.7111844,0.6987908
195,1,23589.725,0.982300298,15114,0.824467381,17,19798628,0.71531856,0.6382051
196,2,16467.215,0.960032437,8680,0.9109447,0,43995910,0.71531856,0.6873932
197,2,18463.45,0.949122998,9232,0.756174177,15,31522992,0.7049636,0.6873932
198,2,19252.826,0.988329238,8170,0.789473684,0,39674132,0.7129798,0.6873932
199,2,18266.318,0.990155853,66866,0.454132145,6,34647336,0.7171489,0.57320416
200,2,18355.52,0.934447393,13983,0.730887506,0,34258576,0.70151895,0.6873932
201,2,19733.76,0.982331543,5783,0.786961785,6,34050610,0.71531856,0.69067895
202,2,19524.506,0.983813897,13369,0.652030818,0,30384358,0.70520806,0.6873932
203,2,16773.105,0.985949209,9652,0.824388728,6,33708740,0.7236581,0.6987908
204,2,17478.041,0.991706021,34127,0.742139655,0,28832730,0.7637091,0.6987908
205,2,16862.045,0.779507134,8509,0.911505465,15,31522992,0.7049636,0.6873932
206,2,19576.348,0.936565473,2210,0.377375566,0,39641064,0.71531856,0.57320416
207,2,18820.54,0.983015142,7612,0.797293747,0,43995910,0.71531856,0.6873932
208,2,18533.092,0.978697001,19409,0.602607038,9,28888544,0.72362375,0.69560355
209,2,18945.604,0.903365385,14611,0.543220861,9,28816244,0.71531856,0.67567223
210,2,22575.21,0.939088983,1891,0.536753041,0,38654356,0.71531856,0.6873932
211,2,19326.445,0.987727633,12682,0.866819114,0,40959160,0.74577135,0.6873932
212,2,17693.707,0.917482517,12948,0.800818659,6,37395980,0.74577135,0.6873932
213,2,18301.205,0.82143222,19650,0.518117048,15,31522992,0.7049636,0.6873932
214,2,17706.965,0.801808693,22340,0.81606983,9,34802200,0.724939,0.6873932
215,2,19212.531,0.989056771,18057,0.853740931,0,40490930,0.7472039,0.6873932
216,2,18403.096,0.989943302,24242,0.779844897,6,33551300,0.7573432,0.6987908
217,2,19904.602,0.498035239,39639,0.666061202,0,29329144,0.7129798,0.6986468
218,2,19717.748,0.63412996,17899,0.573439857,9,24804852,0.74207133,0.6987908
219,2,18903.818,0.987612941,13794,0.658547194,18,30832352,0.74577135,0.69560355
220,2,19040.504,0.990530882,16431,0.646095795,0,30503170,0.6987908,0.66840154
221,2,19748.46,0.984362003,6026,0.848489877,0,44069916,0.71531856,0.6873932
222,2,15650.015,0.982154786,21024,0.823725266,0,30503170,0.6987908,0.66840154
223,2,19083.352,0.971287765,9351,0.746123409,9,31299268,0.7049636,0.6873932
224,2,23405.32,0.981515712,9766,0.807904976,9,32784196,0.724939,0.69481695
225,2,19990.215,0.926008584,11731,0.721507118,0,29436164,0.7189976,0.6987908
226,2,15832.511,0.989512647,9774,0.930018416,0,44886710,0.7472039,0.6873932
227,2,20733.143,0.957264957,1054,0.579696395,0,36223000,0.7171489,0.6873932
228,2,15978.692,0.985892726,6826,0.827571052,0,36265336,0.7129798,0.6873932
229,2,16297.94,0.990668348,11955,0.818318695,0,43373884,0.7573432,0.6873932
230,2,16631.81,0.98772705,10221,0.837589277,0,29851548,0.7129798,0.6987908
231,2,16648.703,0.990032942,11864,0.752191504,15,31522992,0.7049636,0.6873932
232,2,18621.12,0.983861719,12237,0.580044128,9,28831772,0.71531856,0.69364643
233,2,16087.963,0.990740741,216,0.847222222,6,35064130,0.7472039,0.6987908
234,2,22598.178,0.989962203,16222,0.721797559,6,34247332,0.71531856,0.6987908
235,2,19259.965,0.987653664,18866,0.491360119,19,31218640,0.74207133,0.6873932
236,2,20273.027,0.9780077,41764,0.66303515,0,28452368,0.7472039,0.69309026
237,2,17912.984,0.989414255,14213,0.779779075,0,45354944,0.74577135,0.6873932
238,2,18422.078,0.974025974,154,0.811688312,9,28831772,0.71531856,0.69364643
239,2,20208.535,0.985918521,18691,0.51334867,9,29444428,0.71531856,0.69481695
240,2,18710.684,0.98369759,19684,0.495884983,0,43873190,0.71531856,0.6873932
241,2,19889.152,0.988934993,10179,0.780921505,0,35726744,0.7236581,0.6873932
242,2,18546.172,0.990904872,32492,0.72291641,0,32177148,0.74577135,0.6873932
243,2,15859.259,0.977777778,136,0.882352941,15,31522992,0.7049636,0.6873932
244,2,17564.799,0.961831098,23863,0.662322424,0,36191336,0.7129798,0.6873932
245,2,16497.512,0.988865458,11917,0.76218847,0,39082700,0.724939,0.6873932
246,2,17815.992,0.986254803,6792,0.869699647,18,29504984,0.71531856,0.69560355
247,2,16822.04,0.987164147,9234,0.705328135,0,37459400,0.71531856,0.69067895
248,2,18303.518,0.98963393,16978,0.82377194,0,25297936,0.74577135,0.6987908
249,2,20372.955,0.988814159,14179,0.784399464,0,38048304,0.7288469,0.6987908
250,2,19571.213,0.988589024,16653,0.714886207,0,33911964,0.70151895,0.66840154
251,2,17226.389,0.987181958,10419,0.861311066,0,43531324,0.7236581,0.6873932
252,2,18942.246,0.986471123,8830,0.707361268,15,31522992,0.7049636,0.6873932
253,2,19314.969,0.989922243,19651,0.577069869,0,30503170,0.6987908,0.66840154
254,2,19392.854,0.984576952,9236,0.672260719,18,29504984,0.71531856,0.69560355
255,2,20890.484,0.989146726,19407,0.586850106,0,34663744,0.72362375,0.6873932
256,2,16132.8125,0.9921875,257,0.809338521,0,41647516,0.724939,0.66840154
257,2,17706.713,0.950530035,567,0.804232804,0,28117176,0.7051045,0.69309026
258,2,18064.537,0.990895002,36278,0.573460499,0,41142724,0.7129798,0.6873932
259,2,16827.947,0.988937643,16230,0.655083179,0,32261724,0.724939,0.70151895
260,2,19233.258,0.988732883,17361,0.665341858,18,32913780,0.71531856,0.69560355
261,2,17094.248,0.98932487,10432,0.750095859,0,36170028,0.74207133,0.6873932
262,2,17119.234,0.992683883,23037,0.750792204,0,36960096,0.7573432,0.70151895
263,2,16706.53,0.989453412,10923,0.719216333,0,38603908,0.7288469,0.70151895
264,2,14721.969,0.988089699,10769,0.828117745,0,39198720,0.71531856,0.7051045
265,2,18327.318,0.988818297,11828,0.843253297,0,37613788,0.7171489,0.70151895
266,2,17601.318,0.989731302,11714,0.819361448,9,37598344,0.724939,0.6873932
267,2,16310.975,0.988510778,9163,0.76416021,0,37240740,0.7189976,0.70151895
268,2,16846.795,0.988794263,11206,0.820899518,0,45354944,0.74577135,0.6873932
269,2,16486.617,0.98260223,13495,0.749388662,9,36192990,0.724939,0.69481695
