,content_id,part,content_questions,mean_content_accuracy,mean_prior_question_had_explanation,mean_prior_question_elapsed_time
0,0,1,6903,0.9077213,0.95132554,19693.703
1,1,1,7398,0.8906461,0.9794539,19320.742
2,2,1,44905,0.55428123,0.90014476,24574.91
3,3,1,22973,0.7794367,0.9667436,21628.973
4,4,1,31736,0.61321527,0.53229773,22046.86
5,5,1,9727,0.8618279,0.9779994,22136.594
6,6,1,56707,0.47454458,0.71479714,23996.836
7,7,1,16585,0.86602354,0.9844438,21887.057
8,8,1,8535,0.9066198,0.9666081,22816.814
9,9,1,47346,0.30391163,0.9755206,24129.037
10,10,1,31024,0.68395436,0.9843992,22518.582
11,11,1,6694,0.88691366,0.9740066,21077.51
12,12,1,20294,0.75987977,0.9845767,22151.863
13,13,1,8991,0.88722056,0.97831166,20050.133
14,14,1,15125,0.79966944,0.98168594,22780.06
15,15,1,20295,0.7056418,0.9824095,21796.94
16,16,1,5439,0.4256297,0.96561867,21367.38
17,17,1,8503,0.86981064,0.97965425,22291.113
18,18,1,20966,0.82810265,0.9830201,21696.78
19,19,1,11127,0.8270873,0.9759144,21725.334
20,20,1,4723,0.9754393,0.97755665,20598.941
21,21,1,11307,0.7506854,0.978332,21688.158
22,22,1,7589,0.86467254,0.9789168,22200.793
23,23,1,8312,0.73448026,0.9694418,22340.121
24,24,1,16921,0.6564033,0.7956976,22933.254
25,25,1,21307,0.7849064,0.3006993,21176.896
26,26,1,9024,0.82025707,0.9744016,20434.19
27,27,1,11348,0.66434616,0.9480085,23599.682
28,28,1,20585,0.6455672,0.9820743,25128.14
29,29,1,4959,0.4962694,0.9630974,20170.623
30,30,1,8355,0.89431477,0.92411727,20273.25
31,31,1,12324,0.85727036,0.9735476,19580.713
32,32,1,8820,0.86269844,0.9791383,22188.75
33,33,1,10653,0.7967709,0.98131984,21517.96
34,34,1,10443,0.6632194,0.9751987,23901.746
35,35,1,7831,0.8489337,0.9765036,19932.582
36,36,1,9255,0.9074014,0.97839004,20314.03
37,37,1,16832,0.8322243,0.97391874,19917.613
38,38,1,7944,0.9612286,0.9826284,21528.996
39,39,1,29776,0.59262496,0.9793458,23524.117
40,40,1,7439,0.8362683,0.97459334,19980.752
41,41,1,4609,0.9702755,0.9748319,17788.787
42,42,1,6240,0.9740385,0.9774038,19506.023
43,43,1,8622,0.9284389,0.98051494,20145.27
44,44,1,7529,0.9256209,0.9758268,21492.35
45,45,1,36674,0.6872171,0.5940721,21771.342
46,46,1,7425,0.9181145,0.9709091,22094.59
47,47,1,9809,0.7496177,0.9788969,24092.107
48,48,1,8237,0.8335559,0.97790456,22347.963
49,49,1,2173,0.71007824,0.96318454,19483.855
50,50,1,21401,0.9183683,0.27587497,19208.436
51,51,1,24107,0.92972994,0.3577384,17951.842
52,52,1,31374,0.7899535,0.9745968,21280.762
53,53,1,10949,0.841812,0.9800895,21286.902
54,54,1,9500,0.71136844,0.9666316,23369.598
55,55,1,40452,0.6018244,0.6322555,20627.0
56,56,1,23755,0.71888024,0.9730162,21896.752
57,57,1,7537,0.90460396,0.98155767,20957.215
58,58,1,36149,0.38172564,0.98171455,24313.217
59,59,1,14492,0.8541954,0.9824731,21941.93
60,60,1,12797,0.8103462,0.9564742,24240.29
61,61,1,18778,0.7614762,0.9822132,22771.752
62,62,1,19112,0.6710967,0.97833824,21889.885
63,63,1,14953,0.738514,0.9792015,25855.027
64,64,1,35643,0.68007743,0.9815672,23145.287
65,65,1,22989,0.87341774,0.9805559,24937.176
66,66,1,6433,0.9375097,0.9567853,23586.723
67,67,1,8696,0.90593374,0.91800827,21733.95
68,68,1,7117,0.9446396,0.97358435,21678.16
69,69,1,14057,0.49327737,0.9762396,24754.508
70,70,1,6537,0.9674162,0.9788894,18725.922
71,71,1,9017,0.8111345,0.98081404,21126.193
72,72,1,15305,0.7436132,0.98177063,22265.842
73,73,1,7388,0.8505685,0.98132104,19704.879
74,74,1,4345,0.26904488,0.9574223,21265.787
75,75,1,9091,0.83907163,0.9788802,21704.936
76,76,1,26165,0.592662,0.9809287,25260.857
77,77,1,18388,0.69953233,0.9809115,22640.584
78,78,1,13109,0.8400336,0.97947973,21657.629
79,79,1,7051,0.9136293,0.9802865,21531.658
80,80,1,6712,0.8261323,0.9679678,22993.725
81,81,1,5089,0.8335626,0.97190017,21697.166
82,82,1,2801,0.7622278,0.9593003,21350.072
83,83,1,18521,0.79504347,0.9804006,23506.037
84,84,1,8368,0.83843213,0.97609943,24437.889
85,85,1,16369,0.74353963,0.9794734,22577.969
86,86,1,12253,0.7474904,0.9795152,23858.684
87,87,1,6212,0.9206375,0.9764971,19439.213
88,88,1,18800,0.5743617,0.9759042,22270.38
89,89,1,13773,0.92085963,0.98090464,22439.336
90,90,1,4911,0.96212584,0.9763796,19570.002
91,91,1,6046,0.8946411,0.9778366,18340.623
92,92,1,2778,0.79049677,0.96076316,20611.191
93,93,1,8164,0.9414503,0.9801568,20051.863
94,94,1,5684,0.9285714,0.9744898,20417.855
95,95,1,9590,0.72930133,0.9029197,22256.95
96,96,1,6441,0.79397607,0.9753144,22043.059
97,97,1,7311,0.8986459,0.9760635,20210.793
98,98,1,34217,0.7605284,0.6767104,22288.865
99,99,1,8506,0.9501528,0.97601694,20124.543
100,100,1,15386,0.35356817,0.06414922,18602.86
101,101,1,2546,0.8040063,0.9634721,19880.96
102,102,1,6998,0.84752786,0.9737068,20700.516
103,103,1,13383,0.6591945,0.9798999,22022.977
104,104,1,21446,0.8765271,0.29021728,19771.283
105,105,1,10263,0.74851406,0.97905093,20895.697
106,106,1,9385,0.8616942,0.9748535,21459.771
107,107,1,27557,0.64753056,0.96226007,21293.697
108,108,1,20200,0.8459406,0.250099,20662.838
109,109,1,5283,0.9748249,0.9738785,18579.496
110,110,1,34792,0.62410897,0.9817774,23546.348
111,111,1,12231,0.8526694,0.9808683,19579.783
112,112,1,7626,0.953711,0.97901917,22254.172
113,113,1,9512,0.8983389,0.9801304,22583.736
114,114,1,21497,0.6672559,0.97799695,22679.771
115,115,1,5578,0.9786662,0.97400504,16952.262
116,116,1,2228,0.7917415,0.9667864,22145.945
117,117,1,7527,0.9341039,0.9783446,24277.207
118,118,1,11214,0.9054753,0.98020333,22838.424
119,119,1,9637,0.8811871,0.98360485,19418.918
120,120,1,20313,0.8435977,0.97824055,23208.617
121,121,1,11745,0.7951469,0.98143893,24992.756
122,122,1,22504,0.68441164,0.97080517,23024.71
123,123,1,20241,0.7888444,0.98162144,22613.113
124,124,1,12295,0.748353,0.9708825,24598.875
125,125,1,8809,0.767397,0.97729594,22065.05
